product_ndc,generic_name,labeler_name,brand_name,active_ingredients,finished,packaging,listing_expiration_date,openfda,marketing_category,dosage_form,spl_id,product_type,route,marketing_start_date,product_id,application_number,brand_name_base,pharm_class,marketing_end_date,brand_name_suffix,dea_schedule
72789-059,Metformin Hydrochloride,"PD-Rx Pharmaceuticals, Inc.",Metformin Hydrochloride,"[{'name': 'METFORMIN HYDROCHLORIDE', 'strength': '500 mg/1'}]",True,"[{'package_ndc': '72789-059-30', 'description': '30 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (72789-059-30)', 'marketing_start_date': '20200527', 'sample': False}, {'package_ndc': '72789-059-60', 'description': '60 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (72789-059-60)', 'marketing_start_date': '20200302', 'sample': False}, {'package_ndc': '72789-059-90', 'description': '90 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (72789-059-90)', 'marketing_start_date': '20200302', 'sample': False}, {'package_ndc': '72789-059-93', 'description': '180 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (72789-059-93)', 'marketing_start_date': '20200505', 'sample': False}, {'package_ndc': '72789-059-98', 'description': '120 TABLET, EXTENDED RELEASE in 1 BOTTLE, PLASTIC (72789-059-98)', 'marketing_start_date': '20220826', 'sample': False}]",20251231,"{'manufacturer_name': ['PD-Rx Pharmaceuticals, Inc.'], 'rxcui': ['860975'], 'spl_set_id': ['077137a4-fcf8-437d-82ac-582308845394'], 'upc': ['0372789059938'], 'unii': ['786Z46389E']}",ANDA,"TABLET, EXTENDED RELEASE",23fb9ace-e2a9-8197-e063-6394a90af8fb,HUMAN PRESCRIPTION DRUG,['ORAL'],20080417,72789-059_23fb9ace-e2a9-8197-e063-6394a90af8fb,ANDA078321,Metformin Hydrochloride,"['Biguanide [EPC]', 'Biguanides [CS]']",,,
72789-323,Zolpidem Tartrate,"PD-Rx Pharmaceuticals, Inc.",Zolpidem Tartrate,"[{'name': 'ZOLPIDEM TARTRATE', 'strength': '10 mg/1'}]",True,"[{'package_ndc': '72789-323-01', 'description': '100 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (72789-323-01)', 'marketing_start_date': '20070504', 'sample': False}, {'package_ndc': '72789-323-10', 'description': '10 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (72789-323-10)', 'marketing_start_date': '20231030', 'sample': False}, {'package_ndc': '72789-323-14', 'description': '14 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (72789-323-14)', 'marketing_start_date': '20240110', 'sample': False}, {'package_ndc': '72789-323-15', 'description': '15 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (72789-323-15)', 'marketing_start_date': '20230925', 'sample': False}, {'package_ndc': '72789-323-21', 'description': '21 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (72789-323-21)', 'marketing_start_date': '20231109', 'sample': False}, {'package_ndc': '72789-323-30', 'description': '30 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (72789-323-30)', 'marketing_start_date': '20070504', 'sample': False}, {'package_ndc': '72789-323-60', 'description': '60 TABLET, FILM COATED in 1 BOTTLE, PLASTIC (72789-323-60)', 'marketing_start_date': '20070504', 'sample': False}]",20251231,"{'manufacturer_name': ['PD-Rx Pharmaceuticals, Inc.'], 'rxcui': ['854873'], 'spl_set_id': ['fda413e7-b1ae-312a-e053-6394a90ab2c6'], 'upc': ['0372789323305'], 'unii': ['WY6W63843K']}",ANDA,"TABLET, FILM COATED",16f0e2f3-0fd5-6d76-e063-6294a90a922b,HUMAN PRESCRIPTION DRUG,['ORAL'],20070504,72789-323_16f0e2f3-0fd5-6d76-e063-6294a90a922b,ANDA078413,Zolpidem Tartrate,"['Central Nervous System Depression [PE]', 'GABA A Receptor Positive Modulators [MoA]', 'gamma-Aminobutyric Acid A Receptor Positive Modulator [EPC]']",,,CIV
72839-201,"Avobenzone 3%, Homosalate 15%, Octisalate 5%, Octocrylene 10%","Derma Care Research Labs, LLC",Habana SPF 50 Sunscreen,"[{'name': 'AVOBENZONE', 'strength': '3 g/100g'}, {'name': 'HOMOSALATE', 'strength': '15 g/100g'}, {'name': 'OCTISALATE', 'strength': '5 g/100g'}, {'name': 'OCTOCRYLENE', 'strength': '10 g/100g'}]",True,"[{'package_ndc': '72839-201-06', 'description': '170 g in 1 CAN (72839-201-06)', 'marketing_start_date': '20220131', 'sample': False}]",20241231,"{'manufacturer_name': ['Derma Care Research Labs, LLC'], 'spl_set_id': ['db6193ee-c63c-a9aa-e053-2995a90a0ee7'], 'is_original_packager': [True], 'upc': ['0850009221308', '0850009221292'], 'unii': ['G63QQF2NOX', 'V06SV4M95S', '4X49Y0596W', '5A68WGF6WM']}",OTC MONOGRAPH NOT FINAL,SPRAY,db6193ee-c63b-a9aa-e053-2995a90a0ee7,HUMAN OTC DRUG,['TOPICAL'],20220131,72839-201_db6193ee-c63b-a9aa-e053-2995a90a0ee7,part352,Habana SPF 50 Sunscreen,,,,
72866-001,ALCOHOL,Merci Handy Corporation,"Hand Sanitizer, Flower Power","[{'name': 'ALCOHOL', 'strength': '670 mg/mL'}]",True,"[{'package_ndc': '72866-001-30', 'description': '30 mL in 1 BOTTLE (72866-001-30)', 'marketing_start_date': '20190301', 'marketing_end_date': '20250630', 'sample': False}]",,"{'manufacturer_name': ['Merci Handy Corporation'], 'rxcui': ['1039708'], 'spl_set_id': ['24caf482-4e87-499e-8115-a5f4632f7135'], 'is_original_packager': [True], 'unii': ['3K9958V90M']}",OTC MONOGRAPH NOT FINAL,GEL,ee9fbfd4-aad6-5189-e053-2a95a90a4ff2,HUMAN OTC DRUG,['TOPICAL'],20190301,72866-001_ee9fbfd4-aad6-5189-e053-2a95a90a4ff2,part333E,"Hand Sanitizer, Flower Power",,20250630,,
72937-006,"MENTHOL, CAMPHOR","SUNSET NOVELTIES, INC","MENTHOL, CAMPHOR","[{'name': 'CAMPHOR, (-)-', 'strength': '2 g/100g'}, {'name': 'MENTHOL', 'strength': '6 g/100g'}]",True,"[{'package_ndc': '72937-006-42', 'description': '113 g in 1 TUBE (72937-006-42)', 'marketing_start_date': '20240207', 'sample': False}]",20251231,"{'manufacturer_name': ['SUNSET NOVELTIES, INC'], 'spl_set_id': ['10d0a0ac-aaad-7750-e063-6294a90a30fd'], 'is_original_packager': [True], 'upc': ['0755439032794'], 'unii': ['213N3S8275', 'L7T10EIP3A']}",OTC MONOGRAPH DRUG,GEL,10d0a0b6-47b1-6d00-e063-6294a90a9e84,HUMAN OTC DRUG,['TOPICAL'],20200922,72937-006_10d0a0b6-47b1-6d00-e063-6294a90a9e84,M017,"MENTHOL, CAMPHOR",,,,
73076-116,lmnoop tinea treatment,"Shenzhen Ishan Technology Co., Ltd",lmnoop tinea treatment,"[{'name': 'CLOTRIMAZOLE', 'strength': '1 g/100g'}]",True,"[{'package_ndc': '73076-116-01', 'description': '50 g in 1 BOTTLE (73076-116-01)', 'marketing_start_date': '20221201', 'sample': False}, {'package_ndc': '73076-116-02', 'description': '100 g in 1 BOTTLE (73076-116-02)', 'marketing_start_date': '20231017', 'sample': False}]",20241231,"{'manufacturer_name': ['Shenzhen Ishan Technology Co., Ltd'], 'spl_set_id': ['e7aee7ce-683d-9fcf-e053-2995a90a5c54'], 'is_original_packager': [True], 'upc': ['6973496921521'], 'nui': ['N0000175487', 'M0002083'], 'pharm_class_epc': ['Azole Antifungal [EPC]'], 'pharm_class_cs': ['Azoles [CS]'], 'unii': ['G07GZ97H65']}",UNAPPROVED HOMEOPATHIC,CREAM,07e56891-f606-2233-e063-6394a90a9bcd,HUMAN OTC DRUG,['TOPICAL'],20221201,73076-116_07e56891-f606-2233-e063-6394a90a9bcd,,lmnoop tinea treatment,"['Azole Antifungal [EPC]', 'Azoles [CS]']",,,
73300-0002,"Hypericum Perforatum, Ruta Graveolens, Arnica Montana",Spirit Homeopathy LLC,Muscles,"[{'name': 'ARNICA MONTANA WHOLE', 'strength': '30 [hp_C]/g'}, {'name': 'HYPERICUM PERFORATUM WHOLE', 'strength': '6 [hp_C]/g'}, {'name': 'RUTA GRAVEOLENS FLOWERING TOP', 'strength': '12 [hp_C]/g'}]",True,"[{'package_ndc': '73300-0002-1', 'description': '228 g in 1 TUBE (73300-0002-1)', 'marketing_start_date': '20200427', 'marketing_end_date': '20251009', 'sample': False}]",,"{'manufacturer_name': ['Spirit Homeopathy LLC'], 'spl_set_id': ['b48b3045-a6e5-406e-a0af-7dc101f5792e'], 'is_original_packager': [True], 'unii': ['O80TY208ZW', 'XK4IUX8MNB', 'N94C2U587S']}",UNAPPROVED HOMEOPATHIC,GEL,85a63aae-aa85-4743-a19c-7ce5d3b88c33,HUMAN OTC DRUG,['TOPICAL'],20200427,73300-0002_85a63aae-aa85-4743-a19c-7ce5d3b88c33,,Muscles,,20251009,,
73442-0014,"citrus unshiu peel, saposhnikovia root, acetaminophen, dextromethorphan hydrobromide","I World Pharmaceutical Co., Ltd.",PEDOXAN Extract,"[{'name': 'ACETAMINOPHEN', 'strength': '.06 g/3g'}, {'name': 'DEXTROMETHORPHAN HYDROBROMIDE', 'strength': '.00425 g/3g'}, {'name': 'SAPOSHNIKOVIA DIVARICATA ROOT', 'strength': '1 g/3g'}, {'name': 'TANGERINE', 'strength': '1 g/3g'}]",True,"[{'package_ndc': '73442-0014-1', 'description': '3 g in 1 POUCH (73442-0014-1)', 'marketing_start_date': '20200916', 'sample': False}]",20241231,"{'manufacturer_name': ['I World Pharmaceutical Co., Ltd.'], 'spl_set_id': ['af69d604-180c-702f-e053-2a95a90a2ae4'], 'is_original_packager': [True], 'nui': ['N0000185371', 'N0000175629', 'N0000184306', 'M0000728', 'M0006342', 'N0000185015'], 'pharm_class_epc': ['Non-Standardized Food Allergenic Extract [EPC]'], 'pharm_class_pe': ['Increased Histamine Release [PE]', 'Cell-mediated Immunity [PE]'], 'pharm_class_cs': ['Allergens [CS]', 'Dietary Proteins [CS]'], 'unii': ['362O9ITL9D', '9D2RTI9KYH', '8H84LFK2QD', 'KH3E3096OO']}",UNAPPROVED DRUG OTHER,GRANULE,af69d604-180d-702f-e053-2a95a90a2ae4,HUMAN OTC DRUG,['ORAL'],20200916,73442-0014_af69d604-180d-702f-e053-2a95a90a2ae4,,PEDOXAN Extract,"['Allergens [CS]', 'Cell-mediated Immunity [PE]', 'Dietary Proteins [CS]', 'Fruit Proteins [EXT]', 'Increased Histamine Release [PE]', 'Non-Standardized Food Allergenic Extract [EPC]', 'Sigma-1 Agonist [EPC]', 'Sigma-1 Receptor Agonists [MoA]', 'Uncompetitive N-methyl-D-aspartate Receptor Antagonist [EPC]', 'Uncompetitive NMDA Receptor Antagonists [MoA]']",,,
80425-0041,Meloxicam,"Advanced Rx Pharmacy of Tennessee, LLC",Meloxicam,"[{'name': 'MELOXICAM', 'strength': '7.5 mg/1'}]",True,"[{'package_ndc': '80425-0041-1', 'description': '30 TABLET in 1 BOTTLE (80425-0041-1)', 'marketing_start_date': '20070307', 'sample': False}, {'package_ndc': '80425-0041-2', 'description': '60 TABLET in 1 BOTTLE (80425-0041-2)', 'marketing_start_date': '20070307', 'sample': False}, {'package_ndc': '80425-0041-3', 'description': '90 TABLET in 1 BOTTLE (80425-0041-3)', 'marketing_start_date': '20070307', 'sample': False}]",20241231,"{'manufacturer_name': ['Advanced Rx Pharmacy of Tennessee, LLC'], 'rxcui': ['311486'], 'spl_set_id': ['af9ce58c-3cd7-769f-e053-2a95a90a5385'], 'nui': ['N0000000160', 'M0001335', 'N0000175722'], 'pharm_class_moa': ['Cyclooxygenase Inhibitors [MoA]'], 'pharm_class_cs': ['Anti-Inflammatory Agents, Non-Steroidal [CS]'], 'pharm_class_epc': ['Nonsteroidal Anti-inflammatory Drug [EPC]'], 'unii': ['VG2QF83CGL']}",ANDA,TABLET,ed21864f-7e96-1977-e053-2995a90a0f22,HUMAN PRESCRIPTION DRUG,['ORAL'],20070307,80425-0041_ed21864f-7e96-1977-e053-2995a90a0f22,ANDA077927,Meloxicam,"['Anti-Inflammatory Agents', 'Non-Steroidal [CS]', 'Cyclooxygenase Inhibitors [MoA]', 'Nonsteroidal Anti-inflammatory Drug [EPC]']",,,
80425-0280,Doxycycline Hyclate,"Advanced Rx Pharmacy of Tennessee, LLC",Doxycycline Hyclate,"[{'name': 'DOXYCYCLINE HYCLATE', 'strength': '100 mg/1'}]",True,"[{'package_ndc': '80425-0280-1', 'description': '10 CAPSULE in 1 BOTTLE (80425-0280-1)', 'marketing_start_date': '20230302', 'sample': False}, {'package_ndc': '80425-0280-2', 'description': '20 CAPSULE in 1 BOTTLE (80425-0280-2)', 'marketing_start_date': '20230302', 'sample': False}, {'package_ndc': '80425-0280-3', 'description': '14 CAPSULE in 1 BOTTLE (80425-0280-3)', 'marketing_start_date': '20230609', 'sample': False}]",20241231,"{'manufacturer_name': ['Advanced Rx Pharmacy of Tennessee, LLC'], 'rxcui': ['1649988'], 'spl_set_id': ['f5ed9293-15f8-ecfa-e053-2a95a90ab6a4'], 'unii': ['19XTS3T51U']}",ANDA,CAPSULE,fdb737e0-edff-3708-e053-6294a90a0d98,HUMAN PRESCRIPTION DRUG,['ORAL'],20230302,80425-0280_fdb737e0-edff-3708-e053-6294a90a0d98,ANDA062676,Doxycycline Hyclate,"['Tetracycline-class Drug [EPC]', 'Tetracyclines [CS]']",,,
79903-006,Cool and Heat Pain Relief,"Walmart, Inc.",Equate Cool and Heat Pain Relieving Liquid,"[{'name': 'MENTHOL', 'strength': '16 mg/100mL'}]",True,"[{'package_ndc': '79903-006-97', 'description': '74 mL in 1 CONTAINER (79903-006-97)', 'marketing_start_date': '20200817', 'sample': False}]",20241231,"{'manufacturer_name': ['Walmart, Inc.'], 'spl_set_id': ['ad156685-3bd5-6837-e053-2995a90ac788'], 'is_original_packager': [True], 'unii': ['L7T10EIP3A']}",OTC MONOGRAPH DRUG,LIQUID,0d1c36f6-2a5f-53fd-e063-6394a90a99c4,HUMAN OTC DRUG,['TOPICAL'],20200817,79903-006_0d1c36f6-2a5f-53fd-e063-6394a90a99c4,M017,Equate Cool and Heat Pain Relieving Liquid,,,,
79913-101,Alcohol/purified water,"SHANDONG HENGFA HYGIENIC PRODUCTS CO., LTD.",Alcohol sanitizer wipes,"[{'name': 'ALCOHOL', 'strength': '1 mL/1'}]",True,"[{'package_ndc': '79913-101-01', 'description': '1 CLOTH in 1 BAG (79913-101-01)', 'marketing_start_date': '20200330', 'sample': False}, {'package_ndc': '79913-101-02', 'description': '10 CLOTH in 1 BAG (79913-101-02)', 'marketing_start_date': '20200330', 'sample': False}, {'package_ndc': '79913-101-03', 'description': '40 CLOTH in 1 BAG (79913-101-03)', 'marketing_start_date': '20200330', 'sample': False}, {'package_ndc': '79913-101-04', 'description': '50 CLOTH in 1 BAG (79913-101-04)', 'marketing_start_date': '20200330', 'sample': False}, {'package_ndc': '79913-101-05', 'description': '80 CLOTH in 1 BAG (79913-101-05)', 'marketing_start_date': '20200330', 'sample': False}, {'package_ndc': '79913-101-06', 'description': '100 CLOTH in 1 BAG (79913-101-06)', 'marketing_start_date': '20200330', 'sample': False}]",20251231,"{'manufacturer_name': ['SHANDONG HENGFA HYGIENIC PRODUCTS CO., LTD.'], 'spl_set_id': ['ab9634bd-4226-2f73-e053-2995a90a802f'], 'is_original_packager': [True], 'unii': ['3K9958V90M']}",OTC MONOGRAPH DRUG,CLOTH,26f0ab92-70a0-36e0-e063-6294a90ad7c5,HUMAN OTC DRUG,['TOPICAL'],20200330,79913-101_26f0ab92-70a0-36e0-e063-6294a90ad7c5,M003,Alcohol sanitizer wipes,,,,
75834-328,Dexmethylphenidate hydrochloride,"Nivagen Pharmaceuticals, Inc.",Dexmethylphenidate hydrochloride,"[{'name': 'DEXMETHYLPHENIDATE HYDROCHLORIDE', 'strength': '10 mg/1'}]",True,"[{'package_ndc': '75834-328-01', 'description': '100 TABLET in 1 BOTTLE (75834-328-01)', 'marketing_start_date': '20240503', 'sample': False}]",20251231,"{'manufacturer_name': ['Nivagen Pharmaceuticals, Inc.'], 'rxcui': ['899518', '899548'], 'spl_set_id': ['638f614c-bf91-4bf6-876f-bf25fa273bc4'], 'is_original_packager': [True], 'upc': ['0375834328010', '0375834327013'], 'unii': ['1678OK0E08']}",ANDA,TABLET,638f614c-bf91-4bf6-876f-bf25fa273bc4,HUMAN PRESCRIPTION DRUG,['ORAL'],20240503,75834-328_638f614c-bf91-4bf6-876f-bf25fa273bc4,ANDA209211,Dexmethylphenidate hydrochloride,"['Central Nervous System Stimulant [EPC]', 'Central Nervous System Stimulation [PE]']",,,CII
